Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2021,Sep,Syria,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2021,Sep,Taiwan,_Total,_Total,_Total,QLD,Brisbane Inner City,1691,779,_Total
2021,Sep,Tonga,_Total,_Total,_Total,QLD,Brisbane Inner City,4,4,_Total
2021,Sep,Ukraine,_Total,_Total,_Total,QLD,Brisbane Inner City,7,4,_Total
2021,Sep,United Arab Emirates,_Total,_Total,_Total,QLD,Brisbane Inner City,16,9,_Total
2021,Sep,Brazil,_Total,_Total,_Total,QLD,Cairns,80,35,_Total
2021,Sep,Chile,_Total,_Total,_Total,QLD,Cairns,16,10,_Total
2021,Sep,Fiji,_Total,_Total,_Total,QLD,Cairns,5,4,_Total
2021,Sep,Germany,_Total,_Total,_Total,QLD,Cairns,12,4,_Total
2021,Sep,"Korea, Republic of (South)",_Total,_Total,_Total,QLD,Cairns,104,51,_Total
2021,Sep,Papua New Guinea,_Total,_Total,_Total,QLD,Cairns,168,46,_Total
2021,Sep,Portugal,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2021,Sep,Taiwan,_Total,_Total,_Total,QLD,Cairns,55,27,_Total
2021,Sep,Ukraine,_Total,_Total,_Total,QLD,Cairns,4,4,_Total
2021,Sep,Austria,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2021,Sep,Brazil,_Total,_Total,_Total,QLD,Central Queensland,4,4,_Total
2021,Sep,Pakistan,_Total,_Total,_Total,QLD,Central Queensland,5,4,_Total
2021,Sep,Papua New Guinea,_Total,_Total,_Total,QLD,Central Queensland,25,12,_Total
2021,Sep,Andorra,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2021,Sep,Dominican Republic,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2021,Sep,Egypt,_Total,_Total,_Total,QLD,Gold Coast,7,4,_Total
2021,Sep,Gaza Strip and West Bank,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2021,Sep,Hungary,_Total,_Total,_Total,QLD,Gold Coast,29,12,_Total
2021,Sep,Kyrgyzstan,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2021,Sep,Laos,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2021,Sep,Netherlands,_Total,_Total,_Total,QLD,Gold Coast,42,18,_Total
2021,Sep,Peru,_Total,_Total,_Total,QLD,Gold Coast,76,37,_Total
2021,Sep,Portugal,_Total,_Total,_Total,QLD,Gold Coast,64,24,_Total
2021,Sep,Tanzania,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2021,Sep,Trinidad and Tobago,_Total,_Total,_Total,QLD,Gold Coast,4,4,_Total
2021,Sep,Zambia,_Total,_Total,_Total,QLD,Gold Coast,6,4,_Total
2021,Sep,Zimbabwe,_Total,_Total,_Total,QLD,Gold Coast,65,17,_Total
2021,Sep,Belgium,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,Bhutan,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,Botswana,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,Cambodia,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,Japan,_Total,_Total,_Total,QLD,Ipswich,8,4,_Total
2021,Sep,Kenya,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,Solomon Islands,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,Sri Lanka,_Total,_Total,_Total,QLD,Ipswich,32,7,_Total
2021,Sep,Thailand,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,United States of America,_Total,_Total,_Total,QLD,Ipswich,4,4,_Total
2021,Sep,Cambodia,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2021,Sep,Kenya,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2021,Sep,Nepal,_Total,_Total,_Total,QLD,Logan - Beaudesert,18,8,_Total
2021,Sep,Sri Lanka,_Total,_Total,_Total,QLD,Logan - Beaudesert,12,9,_Total
2021,Sep,Thailand,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2021,Sep,United States of America,_Total,_Total,_Total,QLD,Logan - Beaudesert,4,4,_Total
2021,Sep,Denmark,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2021,Sep,India,_Total,_Total,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2021,Sep,Nauru,_Total,_Total,_Total,QLD,Moreton Bay - North,4,4,_Total
2021,Sep,Nigeria,_Total,_Total,_Total,QLD,Moreton Bay - North,4,4,_Total
2021,Sep,Ghana,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,_Total
2021,Sep,Laos,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,_Total
2021,Sep,Mozambique,_Total,_Total,_Total,QLD,Moreton Bay - South,4,4,_Total
2021,Sep,Philippines,_Total,_Total,_Total,QLD,Moreton Bay - South,15,7,_Total
2021,Sep,Canada,_Total,_Total,_Total,QLD,Sunshine Coast,28,10,_Total
2021,Sep,China,_Total,_Total,_Total,QLD,Sunshine Coast,113,26,_Total
2021,Sep,Croatia,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2021,Sep,Hungary,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2021,Sep,India,_Total,_Total,_Total,QLD,Sunshine Coast,237,48,_Total
2021,Sep,Latvia,_Total,_Total,_Total,QLD,Sunshine Coast,4,4,_Total
2021,Sep,Mexico,_Total,_Total,_Total,QLD,Sunshine Coast,5,4,_Total
2021,Sep,Nepal,_Total,_Total,_Total,QLD,Sunshine Coast,275,84,_Total
2021,Sep,Sri Lanka,_Total,_Total,_Total,QLD,Sunshine Coast,5,4,_Total
2018,Sep,_Total,_Total,Advanced Diploma,_Total,NSW,Sydney - Outer West and Blue Mountains,15,7,_Total
2018,Sep,_Total,_Total,Bachelor Honours Degree,_Total,NSW,Sydney - Outer West and Blue Mountains,65,15,_Total
2018,Sep,_Total,_Total,Masters Degree (Research),_Total,NSW,Sydney - Outer West and Blue Mountains,31,9,_Total
2018,Sep,_Total,_Total,Bachelor Degree,_Total,NSW,Sydney - Parramatta,2630,857,_Total
2018,Sep,_Total,_Total,Certificate IV,_Total,NSW,Sydney - Parramatta,2238,1271,_Total
2018,Sep,_Total,_Total,Advanced Diploma,_Total,NSW,Sydney - Ryde,1089,397,_Total
2018,Sep,_Total,_Total,Masters Degree (Coursework),_Total,NSW,Sydney - Ryde,4786,1955,_Total
2018,Sep,_Total,_Total,Masters Degree (Research),_Total,NSW,Sydney - Ryde,207,166,_Total
2018,Sep,_Total,_Total,Certificate IV,_Total,NSW,Sydney - South West,11,6,_Total
2018,Sep,_Total,_Total,Junior Secondary Studies,_Total,NSW,Sydney - South West,25,12,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,NSW,Sydney - South West,18,9,_Total
2018,Sep,_Total,_Total,Bachelor Degree,_Total,NT,Darwin,869,227,_Total
2018,Sep,_Total,_Total,Certificate IV,_Total,NT,Darwin,168,110,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,NT,Darwin,89,22,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,QLD,Brisbane - North,5,4,_Total
2018,Sep,_Total,_Total,Bachelor Honours Degree,_Total,QLD,Brisbane - South,215,86,_Total
2018,Sep,_Total,_Total,Diploma,_Total,QLD,Brisbane - South,2755,1463,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,QLD,Brisbane - South,1427,988,_Total
2018,Sep,_Total,_Total,Certificate III,_Total,QLD,Brisbane - West,201,116,_Total
2018,Sep,_Total,_Total,Certificate IV,_Total,QLD,Brisbane - West,117,59,_Total
2018,Sep,_Total,_Total,Certificate II,_Total,QLD,Brisbane Inner City,2035,1082,_Total
2018,Sep,_Total,_Total,Graduate Diploma,_Total,QLD,Brisbane Inner City,128,74,_Total
2018,Sep,_Total,_Total,Junior Secondary Studies,_Total,QLD,Brisbane Inner City,262,163,_Total
2018,Sep,_Total,_Total,Advanced Diploma,_Total,QLD,Cairns,83,30,_Total
2018,Sep,_Total,_Total,Masters Degree (Coursework),_Total,QLD,Cairns,37,13,_Total
2018,Sep,_Total,_Total,Masters Degree (Research),_Total,QLD,Cairns,5,4,_Total
2018,Sep,_Total,_Total,Certificate III,_Total,QLD,Central Queensland,4,4,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,QLD,Gold Coast,272,46,_Total
2018,Sep,_Total,_Total,Graduate Certificate,_Total,QLD,Gold Coast,57,56,_Total
2018,Sep,_Total,_Total,Bachelor Honours Degree,_Total,QLD,Ipswich,12,6,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,QLD,Ipswich,297,223,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,QLD,Logan - Beaudesert,6,4,_Total
2018,Sep,_Total,_Total,Primary School Studies,_Total,QLD,Moreton Bay - South,9,4,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,QLD,Moreton Bay - South,21,16,_Total
2018,Sep,_Total,_Total,Bachelor Degree,_Total,QLD,Sunshine Coast,916,362,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,QLD,Sunshine Coast,473,397,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,QLD,Toowoomba,188,48,_Total
2018,Sep,_Total,_Total,Certificate IV,_Total,QLD,Townsville,88,42,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,SA,Adelaide - Central and Hills,650,141,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,SA,Adelaide - Central and Hills,5613,3744,_Total
2018,Sep,_Total,_Total,Graduate Certificate,_Total,SA,Adelaide - North,4,4,_Total
2018,Sep,_Total,_Total,Junior Secondary Studies,_Total,SA,Adelaide - North,79,52,_Total
2018,Sep,_Total,_Total,Masters Degree (Coursework),_Total,SA,Adelaide - North,501,273,_Total
2018,Sep,_Total,_Total,Graduate Diploma,_Total,SA,Adelaide - South,31,21,_Total
2018,Sep,_Total,_Total,Junior Secondary Studies,_Total,SA,Adelaide - South,337,227,_Total
2018,Sep,_Total,_Total,Masters Degree (Coursework),_Total,SA,Adelaide - South,1388,655,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,SA,Adelaide - West,34,16,_Total
2018,Sep,_Total,_Total,Junior Secondary Studies,_Total,SA,Barossa - Yorke - Mid North,4,4,_Total
2018,Sep,_Total,_Total,Primary School Studies,_Total,SA,South Australia - Outback,4,4,_Total
2018,Sep,_Total,_Total,Associate Degree,_Total,TAS,Hobart,4,4,_Total
2018,Sep,_Total,_Total,Certificate IV,_Total,TAS,Hobart,187,151,_Total
2018,Sep,_Total,_Total,Associate Degree,_Total,TAS,Launceston and North East,4,4,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,VIC,Ballarat,23,5,_Total
2018,Sep,_Total,_Total,Diploma,_Total,VIC,Geelong,275,129,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,VIC,Geelong,153,41,_Total
2018,Sep,_Total,_Total,Bachelor Degree,_Total,VIC,Hume,6,4,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,VIC,Hume,162,41,_Total
2018,Sep,_Total,_Total,Advanced Diploma,_Total,VIC,Melbourne - Inner,7065,4172,_Total
2018,Sep,_Total,_Total,Associate Degree,_Total,VIC,Melbourne - Inner,768,347,_Total
2018,Sep,_Total,_Total,Certificate III,_Total,VIC,Melbourne - Inner East,149,103,_Total
2018,Sep,_Total,_Total,Certificate IV,_Total,VIC,Melbourne - Inner East,100,88,_Total
2018,Sep,_Total,_Total,Bachelor Honours Degree,_Total,VIC,Melbourne - Inner South,114,52,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,VIC,Melbourne - Inner South,116,100,_Total
2018,Sep,_Total,_Total,Associate Degree,_Total,VIC,Melbourne - North East,4,4,_Total
2018,Sep,_Total,_Total,Primary School Studies,_Total,VIC,Melbourne - North West,4,4,_Total
2018,Sep,_Total,_Total,Masters Degree (Coursework),_Total,VIC,Melbourne - Outer East,7,4,_Total
2018,Sep,_Total,_Total,Bachelor Degree,_Total,VIC,Melbourne - South East,4707,1887,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,VIC,Melbourne - South East,234,93,_Total
2018,Sep,_Total,_Total,Associate Degree,_Total,VIC,Melbourne - West,11,6,_Total
2018,Sep,_Total,_Total,Diploma,_Total,VIC,Mornington Peninsula,12,7,_Total
2018,Sep,_Total,_Total,Masters Degree (Research),_Total,VIC,Mornington Peninsula,4,4,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,VIC,Warrnambool and South West,22,16,_Total
2018,Sep,_Total,_Total,Bachelor Honours Degree,_Total,WA,Perth - Inner,35,27,_Total
2018,Sep,_Total,_Total,Diploma,_Total,WA,Perth - Inner,4691,2413,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,WA,Perth - Inner,6095,4390,_Total
2018,Sep,_Total,_Total,Non AQF Award,_Total,WA,Perth - North East,119,117,_Total
2018,Sep,_Total,_Total,Primary School Studies,_Total,WA,Perth - North East,4,4,_Total
2018,Sep,_Total,_Total,Associate Degree,_Total,WA,Perth - North West,4,4,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,WA,Perth - South East,615,106,_Total
2018,Sep,_Total,_Total,Doctoral Degree,_Total,WA,Perth - South West,361,87,_Total
2018,Sep,_Total,_Total,Primary School Studies,_Total,WA,Perth - South West,6,4,_Total
2018,Sep,_Total,_Total,Diploma,_Total,WA,Western Australia - Outback (North),5,5,_Total
2018,Sep,_Total,_Total,Certificate II,_Total,WA,Western Australia - Wheat Belt,4,4,_Total
2018,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,WA,Western Australia - Wheat Belt,4,4,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,ACT,Australian Capital Territory,1134,235,_Total
2019,Sep,_Total,_Total,Graduate Certificate,_Total,ACT,Australian Capital Territory,80,77,_Total
2019,Sep,_Total,_Total,Diploma,_Total,NSW,Central West,4,4,_Total
2019,Sep,_Total,_Total,Graduate Diploma,_Total,NSW,Central West,4,4,_Total
2019,Sep,_Total,_Total,Masters Degree (Research),_Total,NSW,Central West,4,4,_Total
2019,Sep,_Total,_Total,Bachelor Degree,_Total,NSW,Illawarra,1733,565,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,NSW,Illawarra,650,140,_Total
2019,Sep,_Total,_Total,Masters Degree (Extended),_Total,NSW,Illawarra,40,13,_Total
2019,Sep,_Total,_Total,Diploma,_Total,NSW,New England and North West,7,4,_Total
2019,Sep,_Total,_Total,Masters Degree (Research),_Total,NSW,New England and North West,8,4,_Total
2019,Sep,_Total,_Total,Advanced Diploma,_Total,NSW,Newcastle and Lake Macquarie,8,6,_Total
2019,Sep,_Total,_Total,Masters Degree (Coursework),_Total,NSW,Newcastle and Lake Macquarie,795,410,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,NSW,Richmond - Tweed,467,320,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,NSW,Riverina,17,4,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,NSW,Southern Highlands and Shoalhaven,51,28,_Total
2019,Sep,_Total,_Total,Advanced Diploma,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,260,186,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,28,10,_Total
2019,Sep,_Total,_Total,Masters Degree (Coursework),_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,10,5,_Total
2019,Sep,_Total,_Total,Certificate III,_Total,NSW,Sydney - Blacktown,642,199,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,NSW,Sydney - City and Inner South,3152,880,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,NSW,Sydney - City and Inner South,47989,33824,_Total
2019,Sep,_Total,_Total,Bachelor Degree,_Total,NSW,Sydney - Eastern Suburbs,6278,2083,_Total
2019,Sep,_Total,_Total,Certificate IV,_Total,NSW,Sydney - Eastern Suburbs,819,463,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,NSW,Sydney - Eastern Suburbs,59,35,_Total
2019,Sep,_Total,_Total,Advanced Diploma,_Total,NSW,Sydney - Inner South West,345,166,_Total
2019,Sep,_Total,_Total,Certificate II,_Total,NSW,Sydney - Inner South West,12,5,_Total
2019,Sep,_Total,_Total,Graduate Diploma,_Total,NSW,Sydney - Inner South West,5,4,_Total
2019,Sep,_Total,_Total,Masters Degree (Research),_Total,NSW,Sydney - Inner South West,4,4,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,NSW,Sydney - Inner South West,369,255,_Total
2019,Sep,_Total,_Total,Certificate II,_Total,NSW,Sydney - Inner West,27,7,_Total
2019,Sep,_Total,_Total,Diploma,_Total,NSW,Sydney - Inner West,1938,1041,_Total
2019,Sep,_Total,_Total,Graduate Diploma,_Total,NSW,Sydney - Inner West,43,42,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,NSW,Sydney - North Sydney and Hornsby,8,4,_Total
2019,Sep,_Total,_Total,Graduate Certificate,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2019,Sep,_Total,_Total,Graduate Certificate,_Total,NSW,Sydney - Northern Beaches,132,100,_Total
2019,Sep,_Total,_Total,Certificate III,_Total,NSW,Sydney - Outer West and Blue Mountains,109,51,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,NSW,Sydney - Parramatta,122,27,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,NSW,Sydney - Parramatta,2220,1711,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,NSW,Sydney - Ryde,300,119,_Total
2019,Sep,_Total,_Total,Diploma,_Total,NSW,Sydney - Ryde,1344,792,_Total
2019,Sep,_Total,_Total,Primary School Studies,_Total,NSW,Sydney - South West,4,4,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,NT,Darwin,35,4,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,NT,Northern Territory - Outback,4,4,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,NT,Northern Territory - Outback,4,4,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,QLD,Brisbane - North,115,65,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,QLD,Brisbane - North,123,70,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,QLD,Brisbane - West,4565,3466,_Total
2019,Sep,_Total,_Total,Primary School Studies,_Total,QLD,Brisbane - West,71,21,_Total
2019,Sep,_Total,_Total,Certificate I,_Total,QLD,Brisbane Inner City,265,186,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,QLD,Cairns,4,4,_Total
2019,Sep,_Total,_Total,Diploma,_Total,QLD,Cairns,448,232,_Total
2019,Sep,_Total,_Total,Bachelor Degree,_Total,QLD,Central Queensland,90,52,_Total
2019,Sep,_Total,_Total,Certificate IV,_Total,QLD,Central Queensland,14,4,_Total
2019,Sep,_Total,_Total,Bachelor Degree,_Total,QLD,Gold Coast,2930,1055,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,QLD,Gold Coast,623,436,_Total
2019,Sep,_Total,_Total,Associate Degree,_Total,QLD,Ipswich,4,4,_Total
2019,Sep,_Total,_Total,Certificate IV,_Total,QLD,Ipswich,4,4,_Total
2019,Sep,_Total,_Total,Certificate II,_Total,QLD,Logan - Beaudesert,4,4,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,QLD,Logan - Beaudesert,178,94,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,QLD,Mackay - Isaac - Whitsunday,4,4,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,QLD,Moreton Bay - North,22,16,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,QLD,Moreton Bay - North,18,11,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,QLD,Moreton Bay - South,28,20,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,QLD,Sunshine Coast,64,13,_Total
2019,Sep,_Total,_Total,Graduate Certificate,_Total,QLD,Sunshine Coast,4,4,_Total
2019,Sep,_Total,_Total,Graduate Certificate,_Total,QLD,Toowoomba,7,7,_Total
2019,Sep,_Total,_Total,Junior Secondary Studies,_Total,QLD,Toowoomba,25,16,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,QLD,Toowoomba,37,25,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,QLD,Townsville,29,12,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,QLD,Townsville,319,293,_Total
2019,Sep,_Total,_Total,Diploma,_Total,QLD,Wide Bay,4,4,_Total
2019,Sep,_Total,_Total,Masters Degree (Research),_Total,QLD,Wide Bay,4,4,_Total
2019,Sep,_Total,_Total,Bachelor Degree,_Total,SA,Adelaide - Central and Hills,6603,2448,_Total
2019,Sep,_Total,_Total,Certificate IV,_Total,SA,Adelaide - Central and Hills,1087,723,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,SA,Adelaide - Central and Hills,684,296,_Total
2019,Sep,_Total,_Total,Diploma,_Total,SA,Adelaide - North,528,236,_Total
2019,Sep,_Total,_Total,Associate Degree,_Total,SA,Adelaide - West,21,9,_Total
2019,Sep,_Total,_Total,Certificate IV,_Total,SA,Adelaide - West,122,97,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,SA,South Australia - Outback,4,4,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,TAS,Hobart,468,175,_Total
2019,Sep,_Total,_Total,Masters Degree (Research),_Total,TAS,Hobart,14,5,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,TAS,Hobart,764,626,_Total
2019,Sep,_Total,_Total,Advanced Diploma,_Total,TAS,Launceston and North East,43,15,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,TAS,Launceston and North East,58,15,_Total
2019,Sep,_Total,_Total,Graduate Diploma,_Total,TAS,Launceston and North East,4,4,_Total
2019,Sep,_Total,_Total,Masters Degree (Research),_Total,TAS,Launceston and North East,7,4,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,TAS,Launceston and North East,108,96,_Total
2019,Sep,_Total,_Total,Bachelor Degree,_Total,VIC,Ballarat,558,292,_Total
2019,Sep,_Total,_Total,Senior Secondary Certificate of Education,_Total,VIC,Ballarat,25,6,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,VIC,Bendigo,39,14,_Total
2019,Sep,_Total,_Total,Non AQF Award,_Total,VIC,Bendigo,7,7,_Total
2019,Sep,_Total,_Total,Masters Degree (Coursework),_Total,VIC,Geelong,2328,834,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,VIC,Hume,7,4,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,VIC,Latrobe - Gippsland,23,4,_Total
2019,Sep,_Total,_Total,Bachelor Honours Degree,_Total,VIC,Melbourne - Inner,2091,667,_Total
2019,Sep,_Total,_Total,Diploma,_Total,VIC,Melbourne - Inner,24699,13146,_Total
2019,Sep,_Total,_Total,Bachelor Degree,_Total,VIC,Melbourne - Inner East,7655,2833,_Total
2019,Sep,_Total,_Total,Primary School Studies,_Total,VIC,Melbourne - Inner East,25,12,_Total
2019,Sep,_Total,_Total,Certificate III,_Total,VIC,Melbourne - Inner South,352,211,_Total
2019,Sep,_Total,_Total,Certificate IV,_Total,VIC,Melbourne - Inner South,84,61,_Total
2019,Sep,_Total,_Total,Advanced Diploma,_Total,VIC,Melbourne - North East,116,73,_Total
2019,Sep,_Total,_Total,Masters Degree (Coursework),_Total,VIC,Melbourne - North East,3623,1463,_Total
2019,Sep,_Total,_Total,Masters Degree (Research),_Total,VIC,Melbourne - North East,26,6,_Total
2019,Sep,_Total,_Total,Certificate III,_Total,VIC,Melbourne - North West,209,125,_Total
2019,Sep,_Total,_Total,Diploma,_Total,VIC,Melbourne - Outer East,9,5,_Total
2019,Sep,_Total,_Total,Doctoral Degree,_Total,VIC,Melbourne - South East,1383,339,_Total
2019,Sep,_Total,_Total,Graduate Certificate,_Total,VIC,Melbourne - South East,38,38,_Total
2019,Sep,_Total,_Total,Masters Degree (Extended),_Total,VIC,Melbourne - South East,4,4,_Total
2019,Sep,_Total,_Total,Advanced Diploma,_Total,VIC,Melbourne - West,136,85,_Total
